기간,자치구,동,세대,계,계,계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,인구,남자,여자,인구,남자,여자,인구,남자,여자,세대당인구,65세이상고령자
2010,합계,합계,"4,224,181","10,575,447","5,236,742","5,338,705","10,312,545","5,111,259","5,201,286","262,902","125,483","137,419",2.44,"1,007,572"
2010,종로구,소계,"77,621","179,362","89,252","90,110","170,578","85,182","85,396","8,784","4,070","4,714",2.20,"22,458"
2010,종로구,사직동,"4,699","10,668","5,073","5,595","10,203","4,796","5,407",465,277,188,2.17,"1,531"
2010,종로구,삼청동,"1,659","3,706","1,810","1,896","3,517","1,690","1,827",189,120,69,2.12,593
2010,종로구,부암동,"4,630","11,648","5,751","5,897","11,406","5,644","5,762",242,107,135,2.46,"1,537"
2010,종로구,평창동,"7,342",19921,9573,10348,19566,9415,10151,355,158,197,2.66,2507
2010,종로구,무악동,3293,8754,4202,4552,8663,4168,4495,91,34,57,2.63,1046
2010,종로구,교남동,4459,9324,4590,4734,9140,4507,4633,184,83,101,2.05,1254
2010,종로구,가회동,2535,5857,2812,3045,5709,2747,2962,148,65,83,2.25,875
2010,종로구,종로1.2.3.4가동,5289,9155,5225,3930,8010,4627,3383,1145,598,547,1.51,1528
2010,종로구,종로5·6가동,3147,6640,3519,3121,6302,3383,2919,338,136,202,2,890
2010,종로구,이화동,4552,9991,4819,5172,9358,4518,4840,633,301,332,2.06,1087
2010,종로구,혜화동,5785,12996,6270,6726,12112,5897,6215,884,373,511,2.09,1365
2010,종로구,명륜3가동,3556,7221,3750,3471,6336,3369,2967,885,381,504,1.78,851
2010,종로구,창신1동,3760,8664,4417,4247,7113,3725,3388,1551,692,859,1.89,954
2010,종로구,창신2동,5239,12365,6253,6112,11811,6009,5802,554,244,310,2.25,1387
2010,종로구,창신3동,3233,8790,4385,4405,8700,4350,4350,90,35,55,2.69,921
2010,종로구,숭인1동,3327,8216,4097,4119,7594,3804,3790,622,293,329,2.28,839
2010,종로구,숭인2동,4880,9554,4981,4573,9350,4888,4462,204,93,111,1.92,1281
2010,종로구,청운효자동,6236,15892,7725,8167,15688,7645,8043,204,80,124,2.52,2012
2010,중구,소계,61468,141200,70908,70292,132822,66879,65943,8378,4029,4349,2.16,17504
2010,중구,소공동,677,1658,914,744,1257,661,596,401,253,148,1.86,159
2010,중구,회현동,3419,6394,3539,2855,5537,3077,2460,857,462,395,1.62,1115
2010,중구,명동,1727,4140,1969,2171,3445,1537,1908,695,432,263,1.99,591
2010,중구,필동,2396,5241,2754,2487,4675,2481,2194,566,273,293,1.95,702
2010,중구,장충동,2972,6200,3108,3092,5675,2891,2784,525,217,308,1.91,694
2010,중구,광희동,3160,6813,3592,3221,5758,3125,2633,1055,467,588,1.82,882
2010,중구,을지로동,1398,2123,1306,817,2009,1251,758,114,55,59,1.44,386
2010,중구,신당1동,4243,10326,5189,5137,8403,4335,4068,1923,854,1069,1.98,1060
2010,중구,신당2동,7414,17143,8426,8717,16823,8284,8539,320,142,178,2.27,1954
2010,중구,신당3동,8056,19893,9620,10273,19676,9518,10158,217,102,115,2.44,2550
2010,중구,신당4동,6648,16373,7884,8489,16211,7818,8393,162,66,96,2.44,1966
2010,중구,신당5동,3841,8470,4298,4172,8221,4177,4044,249,121,128,2.14,1080
2010,중구,신당6동,3732,9804,4826,4978,9686,4779,4907,118,47,71,2.6,1103
2010,중구,황학동,5984,13541,6893,6648,12705,6501,6204,836,392,444,2.12,1465
2010,중구,중림동,5801,13081,6590,6491,12741,6444,6297,340,146,194,2.2,1797
2010,용산구,소계,113204,257143,125832,131311,244853,119482,125371,12290,6350,5940,2.16,30996
2010,용산구,후암동,9266,20907,10428,10479,20355,10174,10181,552,254,298,2.2,2480
2010,용산구,용산2가동,6277,14340,7054,7286,13355,6497,6858,985,557,428,2.13,1748
2010,용산구,남영동,5163,8442,4925,3517,7947,4702,3245,495,223,272,1.54,1168
2010,용산구,원효로2동,6314,16436,7848,8588,16222,7764,8458,214,84,130,2.57,1796
2010,용산구,효창동,4541,11532,5602,5930,11386,5532,5854,146,70,76,2.51,1338
2010,용산구,용문동,5260,13603,6689,6914,13433,6612,6821,170,77,93,2.55,1519
2010,용산구,이촌1동,10227,28935,13654,15281,27385,12774,14611,1550,880,670,2.68,3308
2010,용산구,이촌2동,4460,10665,5122,5543,10609,5098,5511,56,24,32,2.38,1418
2010,용산구,이태원1동,4623,10685,5097,5588,8739,4011,4728,1946,1086,860,1.89,1405
2010,용산구,이태원2동,5494,11817,5628,6189,11441,5409,6032,376,219,157,2.08,1739
2010,용산구,서빙고동,4973,11927,5748,6179,11479,5529,5950,448,219,229,2.31,1716
2010,용산구,보광동,9056,19336,9404,9932,18461,8942,9519,875,462,413,2.04,2248
2010,용산구,청파동,11953,24895,12071,12824,24011,11745,12266,884,326,558,2.01,2640
2010,용산구,원효로1동,5149,11254,5644,5610,10979,5517,5462,275,127,148,2.13,1223
2010,용산구,한강로동,8186,16929,8504,8425,16021,8040,7981,908,464,444,1.96,2284
2010,용산구,한남동,12262,25440,12414,13026,23030,11136,11894,2410,1278,1132,1.88,2966
2010,성동구,소계,129644,316892,158771,158121,309093,155067,154026,7799,3704,4095,2.38,32094
2010,성동구,왕십리2동,7711,19161,9539,9622,18943,9437,9506,218,102,116,2.46,1945
2010,성동구,마장동,10358,26341,13241,13100,25826,12994,12832,515,247,268,2.49,2658
2010,성동구,사근동,5798,11629,6117,5512,10746,5717,5029,883,400,483,1.85,1198
2010,성동구,행당1동,7719,18578,9146,9432,17998,8884,9114,580,262,318,2.33,1960
2010,성동구,행당2동,9292,26060,12529,13531,25996,12502,13494,64,27,37,2.8,2400
2010,성동구,응봉동,6628,17670,8497,9173,17607,8471,9136,63,26,37,2.66,1838
2010,성동구,금호1가동,6293,16218,7909,8309,16077,7844,8233,141,65,76,2.55,1781
2010,성동구,금호4가동,6505,15550,7645,7905,15330,7555,7775,220,90,130,2.36,1640
2010,성동구,성수1가1동,7487,19041,9807,9234,18398,9468,8930,643,339,304,2.46,1509
2010,성동구,성수1가2동,8301,19323,9840,9483,19026,9696,9330,297,144,153,2.29,1629
2010,성동구,성수2가1동,9353,22408,11615,10793,21346,11092,10254,1062,523,539,2.28,1964
2010,성동구,성수2가3동,5400,12467,6465,6002,12133,6258,5875,334,207,127,2.25,1198
2010,성동구,송정동,5809,13072,6871,6201,12520,6630,5890,552,241,311,2.16,1139
2010,성동구,용답동,7714,18050,9434,8616,17039,8966,8073,1011,468,543,2.21,1819
2010,성동구,왕십리도선동,5765,13504,6734,6770,13045,6524,6521,459,210,249,2.26,1678
2010,성동구,금호2.3가동,9434,22954,11183,11771,22705,11073,11632,249,110,139,2.41,2792
2010,성동구,옥수동,10077,24866,12199,12667,24358,11956,12402,508,243,265,2.42,2946
2010,광진구,소계,159675,388775,192053,196722,375463,186024,189439,13312,6029,7283,2.35,32241
2010,광진구,화양동,12806,24387,11954,12433,21499,10646,10853,2888,1308,1580,1.68,1806
2010,광진구,군자동,10271,22670,11458,11212,21836,11039,10797,834,419,415,2.13,2070
2010,광진구,중곡1동,7795,17795,8772,9023,17082,8471,8611,713,301,412,2.19,1588
2010,광진구,중곡2동,9592,23207,11437,11770,23034,11371,11663,173,66,107,2.4,1941
2010,광진구,중곡3동,8394,19906,9947,9959,19762,9898,9864,144,49,95,2.35,1731
2010,광진구,중곡4동,12688,32347,16078,16269,32217,16034,16183,130,44,86,2.54,2928
2010,광진구,능동,5420,11173,5321,5852,10941,5219,5722,232,102,130,2.02,1015
2010,광진구,구의1동,10932,24150,11641,12509,23094,11179,11915,1056,462,594,2.11,2023
2010,광진구,구의2동,10690,27158,13440,13718,26834,13334,13500,324,106,218,2.51,2556
2010,광진구,구의3동,11677,30611,14843,15768,30413,14757,15656,198,86,112,2.6,2438
2010,광진구,광장동,11734,35801,17463,18338,35522,17340,18182,279,123,156,3.03,2519
2010,광진구,자양1동,11285,27484,13622,13862,24710,12308,12402,2774,1314,1460,2.19,2303
2010,광진구,자양2동,11761,29673,14883,14790,29440,14785,14655,233,98,135,2.5,2390
2010,광진구,자양3동,11752,32717,16155,16562,32298,15942,16356,419,213,206,2.75,2287
2010,광진구,자양4동,12878,29696,15039,14657,26781,13701,13080,2915,1338,1577,2.08,2646
2010,동대문구,소계,158485,379343,190317,189026,366786,184874,181912,12557,5443,7114,2.31,42669
