기간,자치구,동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,동,세대,합계,합계,합계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2014,합계,합계,"4,194,176","10,369,593","5,109,013","5,260,580","10,103,233","4,979,768","5,123,465","266,360","129,245","137,115",2.41,"1,221,616"
2014,종로구,소계,"73,101","165,344","81,439","83,905","156,993","77,621","79,372","8,351","3,818","4,533",2.15,"24,537"
2014,종로구,사직동,"4,400","10,132","4,765","5,367","9,774","4,571","5,203",358,194,164,2.22,"1,676"
2014,종로구,삼청동,"1,461","3,268","1,586","1,682","3,058","1,465","1,593",210,121,89,2.09,647
2014,종로구,부암동,"4,494","11,356","5,539","5,817","10,933","5,356","5,577",423,183,240,2.43,"1,723"
2014,종로구,평창동,"7,416",19595,9302,10293,19393,9207,10186,202,95,107,2.62,2889
2014,종로구,무악동,3174,8445,3979,4466,8376,3951,4425,69,28,41,2.64,1224
2014,종로구,교남동,2426,5005,2421,2584,4921,2382,2539,84,39,45,2.03,838
2014,종로구,가회동,2286,5214,2450,2764,5070,2377,2693,144,73,71,2.22,883
2014,종로구,종로1.2.3.4가동,5416,8920,5089,3831,7894,4516,3378,1026,573,453,1.46,1736
2014,종로구,종로5·6가동,3119,6069,3287,2782,5744,3136,2608,325,151,174,1.84,1057
2014,종로구,이화동,4481,9312,4378,4934,8814,4170,4644,498,208,290,1.97,1197
2014,종로구,창신1동,3321,7097,3751,3346,6209,3321,2888,888,430,458,1.87,1083
2014,종로구,창신2동,4567,11311,5686,5625,10201,5175,5026,1110,511,599,2.23,1511
2014,종로구,창신3동,3006,8091,4064,4027,7939,3991,3948,152,73,79,2.64,1043
2014,종로구,숭인1동,3161,7348,3660,3688,6973,3470,3503,375,190,185,2.21,982
2014,종로구,숭인2동,5374,10078,5147,4931,9625,4954,4671,453,193,260,1.79,1488
2014,종로구,청운효자동,5830,14472,6885,7587,14308,6807,7501,164,78,86,2.45,2084
2014,종로구,혜화동,9169,19631,9450,10181,17761,8772,8989,1870,678,1192,1.94,2476
2014,중구,소계,59960,136227,67952,68275,128065,64033,64032,8162,3919,4243,2.14,19960
2014,중구,소공동,655,1895,1044,851,1278,681,597,617,363,254,1.95,187
2014,중구,회현동,3531,6505,3516,2989,5795,3139,2656,710,377,333,1.64,1278
2014,중구,명동,1478,3614,1619,1995,3088,1336,1752,526,283,243,2.09,636
2014,중구,필동,2414,5040,2600,2440,4418,2334,2084,622,266,356,1.83,765
2014,중구,장충동,2869,6079,3036,3043,5314,2742,2572,765,294,471,1.85,773
2014,중구,광희동,2873,5961,3131,2830,5167,2758,2409,794,373,421,1.8,997
2014,중구,을지로동,1256,1920,1189,731,1794,1128,666,126,61,65,1.43,433
2014,중구,신당5동,4751,10788,5419,5369,10433,5263,5170,355,156,199,2.2,1474
2014,중구,황학동,6045,13186,6619,6567,12316,6192,6124,870,427,443,2.04,1662
2014,중구,중림동,4492,9562,4856,4706,9274,4704,4570,288,152,136,2.06,1567
2014,중구,신당동,3889,8758,4458,4300,7353,3785,3568,1405,673,732,1.89,1186
2014,중구,다산동,7004,16268,7944,8324,15814,7748,8066,454,196,258,2.26,2247
2014,중구,약수동,7908,19160,9227,9933,18893,9091,9802,267,136,131,2.39,3009
2014,중구,청구동,6485,15587,7510,8077,15394,7425,7969,193,85,108,2.37,2256
2014,중구,동화동,4310,11904,5784,6120,11734,5707,6027,170,77,93,2.72,1490
2014,용산구,소계,108429,249914,122047,127867,235951,114578,121373,13963,7469,6494,2.18,34896
2014,용산구,후암동,8719,19683,9745,9938,19162,9496,9666,521,249,272,2.2,2716
2014,용산구,용산2가동,5820,13330,6598,6732,12072,5879,6193,1258,719,539,2.07,1949
2014,용산구,남영동,5358,8576,5187,3389,8093,4949,3144,483,238,245,1.51,1406
2014,용산구,원효로2동,6007,15671,7364,8307,15504,7301,8203,167,63,104,2.58,2064
2014,용산구,효창동,4437,11276,5491,5785,11110,5425,5685,166,66,100,2.5,1540
2014,용산구,용문동,5149,12994,6277,6717,12842,6204,6638,152,73,79,2.49,1739
2014,용산구,이촌1동,9642,28007,13146,14861,26652,12413,14239,1355,733,622,2.76,3658
2014,용산구,이촌2동,4145,9800,4687,5113,9706,4647,5059,94,40,54,2.34,1582
2014,용산구,이태원1동,4190,9470,4715,4755,7827,3672,4155,1643,1043,600,1.87,1483
2014,용산구,이태원2동,5189,11550,5456,6094,10392,4783,5609,1158,673,485,2,1839
2014,용산구,서빙고동,5333,14293,6895,7398,13699,6602,7097,594,293,301,2.57,1946
2014,용산구,보광동,8387,17665,8685,8980,16691,8146,8545,974,539,435,1.99,2525
2014,용산구,청파동,11034,22939,10898,12041,22018,10584,11434,921,314,607,2,2976
2014,용산구,원효로1동,5937,13547,6656,6891,13113,6445,6668,434,211,223,2.21,1541
2014,용산구,한강로동,7710,16491,8263,8228,15034,7492,7542,1457,771,686,1.95,2683
2014,용산구,한남동,11372,24622,11984,12638,22036,10540,11496,2586,1444,1142,1.94,3249
2014,성동구,소계,125814,303891,151149,152742,296086,147363,148723,7805,3786,4019,2.35,36684
2014,성동구,왕십리2동,6793,16812,8308,8504,16452,8140,8312,360,168,192,2.42,2049
2014,성동구,마장동,10323,25148,12462,12686,24509,12164,12345,639,298,341,2.37,3084
2014,성동구,사근동,6294,12574,6510,6064,11206,5863,5343,1368,647,721,1.78,1371
2014,성동구,행당1동,6583,15553,7637,7916,15103,7431,7672,450,206,244,2.29,1982
2014,성동구,행당2동,9476,26399,12557,13842,26307,12524,13783,92,33,59,2.78,3008
2014,성동구,응봉동,6325,17158,8188,8970,17103,8169,8934,55,19,36,2.7,2208
2014,성동구,금호1가동,5526,14117,6859,7258,14014,6815,7199,103,44,59,2.54,1930
2014,성동구,금호4가동,6164,15004,7269,7735,14825,7185,7640,179,84,95,2.41,1822
2014,성동구,성수1가1동,7134,17774,9010,8764,17356,8781,8575,418,229,189,2.43,1812
2014,성동구,성수1가2동,7951,18111,9181,8930,17687,8964,8723,424,217,207,2.22,1918
2014,성동구,성수2가1동,8901,20532,10701,9831,19699,10299,9400,833,402,431,2.21,2325
2014,성동구,성수2가3동,5480,12434,6483,5951,11982,6219,5763,452,264,188,2.19,1498
2014,성동구,송정동,5544,12292,6493,5799,11802,6258,5544,490,235,255,2.13,1353
2014,성동구,용답동,7846,17358,9182,8176,16236,8642,7594,1122,540,582,2.07,2228
2014,성동구,왕십리도선동,6853,16081,7874,8207,15697,7693,8004,384,181,203,2.29,2138
2014,성동구,금호2.3가동,9269,23056,11169,11887,22847,11070,11777,209,99,110,2.46,3134
2014,성동구,옥수동,9352,23487,11266,12221,23261,11146,12115,226,120,106,2.49,2824
2014,성동구,기타,-,1,-,1,-,-,-,1,-,1,-,-
2014,광진구,소계,158524,377375,185011,192364,363354,178738,184616,14021,6273,7748,2.29,38974
2014,광진구,화양동,13993,24269,11571,12698,21423,10449,10974,2846,1122,1724,1.53,2069
2014,광진구,군자동,10293,22189,11033,11156,21048,10534,10514,1141,499,642,2.04,2429
2014,광진구,중곡1동,7608,16648,8268,8380,16160,8053,8107,488,215,273,2.12,1904
2014,광진구,중곡2동,9663,22633,11033,11600,22350,10918,11432,283,115,168,2.31,2370
2014,광진구,중곡3동,8194,18475,9248,9227,18235,9147,9088,240,101,139,2.23,2158
2014,광진구,중곡4동,12810,31842,15734,16108,31607,15640,15967,235,94,141,2.47,3679
2014,광진구,능동,5697,11470,5420,6050,11159,5267,5892,311,153,158,1.96,1281
2014,광진구,구의1동,10899,23290,11222,12068,22475,10857,11618,815,365,450,2.06,2479
2014,광진구,구의2동,10627,26479,12960,13519,26156,12828,13328,323,132,191,2.46,3051
2014,광진구,구의3동,11522,29997,14569,15428,29670,14416,15254,327,153,174,2.58,2947
2014,광진구,광장동,12017,37159,18056,19103,36985,17974,19011,174,82,92,3.08,2852
2014,광진구,자양1동,10792,24459,12066,12393,23015,11374,11641,1444,692,752,2.13,2634
