기간,자치구,동,세대,계,계,계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,인구,남자,여자,인구,남자,여자,인구,남자,여자,세대당인구,65세이상고령자
2009,합계,합계,"4,116,660","10,464,051","5,181,359","5,282,692","10,208,302","5,059,269","5,149,033","255,749","122,090","133,659",2.48,"942,946"
2009,종로구,소계,"74,315","177,543","88,432","89,111","168,603","84,257","84,346","8,940","4,175","4,765",2.27,"20,753"
2009,종로구,사직동,"4,476","10,464","4,945","5,519","10,029","4,732","5,297",435,213,222,2.24,"1,389"
2009,종로구,삼청동,"1,630","3,717","1,811","1,906","3,548","1,715","1,833",169,96,73,2.18,568
2009,종로구,부암동,"4,508","11,602","5,744","5,858","11,330","5,627","5,703",272,117,155,2.51,"1,448"
2009,종로구,평창동,"7,057",19780,9543,10237,19384,9355,10029,396,188,208,2.75,2362
2009,종로구,무악동,3179,8714,4193,4521,8615,4154,4461,99,39,60,2.71,971
2009,종로구,교남동,4268,9145,4500,4645,8936,4404,4532,209,96,113,2.09,1141
2009,종로구,가회동,2458,5948,2858,3090,5749,2768,2981,199,90,109,2.34,800
2009,종로구,종로1.2.3.4가동,4576,8575,4874,3701,7306,4215,3091,1269,659,610,1.6,"1,277"
2009,종로구,종로5·6가동,"3,017","6,618","3,500","3,118","6,287","3,366","2,921",331,134,197,2.08,877
2009,종로구,이화동,"4,448","9,984","4,834","5,150","9,296","4,510","4,786",688,324,364,2.09,976
2009,종로구,혜화동,"5,574","12,965","6,294","6,671","12,136","5,936",6200,829,358,471,2.18,1330
2009,종로구,명륜3가동,3618,7320,3872,3448,6467,3506,2961,853,366,487,1.79,836
2009,종로구,창신1동,3465,8495,4314,4181,6915,3575,3340,1580,739,841,2,855
2009,종로구,창신2동,5051,12113,6151,5962,11651,5926,5725,462,225,237,2.31,1292
2009,종로구,창신3동,3158,8683,4369,4314,8601,4334,4267,82,35,47,2.72,833
2009,종로구,숭인1동,3170,8131,3999,4132,7482,3697,3785,649,302,347,2.36,761
2009,종로구,숭인2동,4557,9270,4775,4495,9102,4698,4404,168,77,91,2,1149
2009,종로구,청운효자동,6105,16019,7856,8163,15769,7739,8030,250,117,133,2.58,1888
2009,중구,소계,58249,137861,69046,68815,129465,65025,64440,8396,4021,4375,2.22,16008
2009,중구,소공동,578,1572,837,735,1095,561,534,477,276,201,1.89,145
2009,중구,회현동,2671,5210,2916,2294,4429,2475,1954,781,441,340,1.66,779
2009,중구,명동,1409,3508,1672,1836,2892,1302,1590,616,370,246,2.05,492
2009,중구,필동,2310,5058,2666,2392,4551,2433,2118,507,233,274,1.97,630
2009,중구,장충동,2945,6329,3167,3162,5742,2917,2825,587,250,337,1.95,662
2009,중구,광희동,2782,6256,3296,2960,5165,2795,2370,1091,501,590,1.86,740
2009,중구,을지로동,1270,2045,1249,796,1906,1182,724,139,67,72,1.5,331
2009,중구,신당1동,4106,10417,5202,5215,8408,4317,4091,2009,885,1124,2.05,1015
