기간,자치구,동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,동,세대,합계,합계,합계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2013,합계,합계,"4,182,351","10,388,055","5,126,351","5,261,704","10,143,645","5,007,869","5,135,776","244,410","118,482","125,928",2.43,"1,167,177"
2013,종로구,소계,"73,693","167,867","83,211","84,656","160,070","79,519","80,551","7,797","3,692","4,105",2.17,"23,997"
2013,종로구,사직동,"4,465","10,327","4,873","5,454","9,875","4,609","5,266",452,264,188,2.21,"1,616"
2013,종로구,삼청동,"1,537","3,367","1,644","1,723","3,218","1,557","1,661",149,87,62,2.09,640
2013,종로구,부암동,"4,563","11,469","5,624","5,845","11,109","5,464","5,645",360,160,200,2.43,"1,691"
2013,종로구,평창동,"7,384",19779,9430,10349,19544,9315,10229,235,115,120,2.65,2787
2013,종로구,무악동,3219,8626,4108,4518,8581,4091,4490,45,17,28,2.67,1184
2013,종로구,교남동,2688,5450,2691,2759,5347,2640,2707,103,51,52,1.99,838
2013,종로구,가회동,2336,5333,2495,2838,5219,2444,2775,114,51,63,2.23,889
2013,종로구,종로1.2.3.4가동,5267,8797,5141,3656,7856,4581,3275,941,560,381,1.49,1697
2013,종로구,종로5·6가동,3117,6245,3373,2872,5926,3225,2701,319,148,171,1.9,1032
2013,종로구,이화동,4497,9435,4475,4960,8995,4275,4720,440,200,240,2,1156
2013,종로구,창신1동,3345,7237,3806,3431,6334,3366,2968,903,440,463,1.89,1037
2013,종로구,창신2동,4768,11707,5905,5802,10679,5431,5248,1028,474,554,2.24,1500
2013,종로구,창신3동,3044,8310,4169,4141,8189,4114,4075,121,55,66,2.69,1016
2013,종로구,숭인1동,3243,7563,3801,3762,7202,3630,3572,361,171,190,2.22,959
2013,종로구,숭인2동,5196,9944,5126,4818,9537,4948,4589,407,178,229,1.84,1428
2013,종로구,청운효자동,5895,14696,7029,7667,14570,6971,7599,126,58,68,2.47,2093
2013,종로구,혜화동,9129,19582,9521,10061,17889,8858,9031,1693,663,1030,1.96,2434
2013,중구,소계,60600,137990,69128,68862,130465,65371,65094,7525,3757,3768,2.15,19346
2013,중구,소공동,682,1766,966,800,1339,698,641,427,268,159,1.96,176
2013,중구,회현동,3591,6563,3562,3001,5892,3200,2692,671,362,309,1.64,1256
2013,중구,명동,1583,4013,1893,2120,3279,1440,1839,734,453,281,2.07,638
2013,중구,필동,2437,4878,2556,2322,4484,2366,2118,394,190,204,1.84,741
2013,중구,장충동,2989,6296,3153,3143,5551,2853,2698,745,300,445,1.86,763
2013,중구,광희동,2937,6107,3248,2859,5364,2882,2482,743,366,377,1.83,962
2013,중구,을지로동,1322,2022,1229,793,1901,1171,730,121,58,63,1.44,419
2013,중구,신당5동,4654,10686,5374,5312,10397,5252,5145,289,122,167,2.23,1396
2013,중구,황학동,5848,13068,6623,6445,12259,6234,6025,809,389,420,2.1,1599
2013,중구,중림동,4652,9944,5057,4887,9655,4905,4750,289,152,137,2.08,1541
2013,중구,신당동,3927,8951,4592,4359,7640,3952,3688,1311,640,671,1.95,1165
2013,중구,다산동,7160,16545,8132,8413,16163,7954,8209,382,178,204,2.26,2187
2013,중구,약수동,7947,19267,9275,9992,19030,9167,9863,237,108,129,2.39,2872
2013,중구,청구동,6485,15799,7623,8176,15598,7534,8064,201,89,112,2.41,2195
2013,중구,동화동,4386,12085,5845,6240,11913,5763,6150,172,82,90,2.72,1436
2013,용산구,소계,109361,251925,122974,128951,239740,116491,123249,12185,6483,5702,2.19,34017
2013,용산구,후암동,8820,20018,9931,10087,19561,9705,9856,457,226,231,2.22,2692
2013,용산구,용산2가동,5895,13546,6667,6879,12477,6051,6426,1069,616,453,2.12,1860
2013,용산구,남영동,5254,8442,5071,3371,7987,4865,3122,455,206,249,1.52,1314
2013,용산구,원효로2동,5984,15811,7484,8327,15646,7419,8227,165,65,100,2.61,2013
2013,용산구,효창동,4426,11392,5528,5864,11244,5466,5778,148,62,86,2.54,1505
2013,용산구,용문동,5123,13034,6323,6711,12894,6256,6638,140,67,73,2.52,1674
2013,용산구,이촌1동,9775,28196,13285,14911,26919,12551,14368,1277,734,543,2.75,3515
2013,용산구,이촌2동,4235,10054,4802,5252,9986,4775,5211,68,27,41,2.36,1572
2013,용산구,이태원1동,4368,9644,4672,4972,8175,3788,4387,1469,884,585,1.87,1471
2013,용산구,이태원2동,5359,11859,5663,6196,10891,5085,5806,968,578,390,2.03,1848
2013,용산구,서빙고동,5363,14221,6868,7353,13834,6692,7142,387,176,211,2.58,1953
2013,용산구,보광동,8435,17961,8761,9200,17097,8287,8810,864,474,390,2.03,2460
2013,용산구,청파동,11225,23428,11173,12255,22494,10835,11659,934,338,596,2,2908
2013,용산구,원효로1동,5694,13004,6450,6554,12709,6304,6405,295,146,149,2.23,1512
2013,용산구,한강로동,7702,16277,8146,8131,15087,7526,7561,1190,620,570,1.96,2540
2013,용산구,한남동,11703,25038,12150,12888,22739,10886,11853,2299,1264,1035,1.94,3180
2013,성동구,소계,126447,306571,152809,153762,299337,149304,150033,7234,3505,3729,2.37,35421
2013,성동구,왕십리2동,6931,17129,8468,8661,16838,8331,8507,291,137,154,2.43,1965
2013,성동구,마장동,10380,25487,12704,12783,24903,12442,12461,584,262,322,2.4,2991
2013,성동구,사근동,5930,11745,6117,5628,10481,5521,4960,1264,596,668,1.77,1299
2013,성동구,행당1동,7533,17806,8797,9009,17383,8598,8785,423,199,224,2.31,2231
2013,성동구,행당2동,9523,26767,12746,14021,26674,12712,13962,93,34,59,2.8,2853
2013,성동구,응봉동,6391,17370,8324,9046,17306,8306,9000,64,18,46,2.71,2132
2013,성동구,금호1가동,5780,14823,7186,7637,14717,7145,7572,106,41,65,2.55,1942
2013,성동구,금호4가동,6255,15236,7436,7800,15058,7350,7708,178,86,92,2.41,1726
2013,성동구,성수1가1동,7228,18161,9242,8919,17774,9023,8751,387,219,168,2.46,1761
2013,성동구,성수1가2동,8039,18537,9411,9126,18155,9227,8928,382,184,198,2.26,1880
2013,성동구,성수2가1동,8980,20951,10914,10037,20135,10521,9614,816,393,423,2.24,2230
2013,성동구,성수2가3동,5417,12431,6503,5928,11994,6225,5769,437,278,159,2.21,1426
2013,성동구,송정동,5624,12538,6619,5919,12046,6392,5654,492,227,265,2.14,1321
2013,성동구,용답동,7745,17389,9154,8235,16438,8697,7741,951,457,494,2.12,2133
2013,성동구,왕십리도선동,5755,12993,6416,6577,12673,6261,6412,320,155,165,2.2,1843
2013,성동구,금호2.3가동,9413,23517,11392,12125,23303,11286,12017,214,106,108,2.48,2994
2013,성동구,옥수동,9523,23688,11380,12308,23459,11267,12192,229,113,116,2.46,2694
2013,성동구,기타,-,3,-,3,-,-,-,3,-,3,-,-
2013,광진구,소계,159173,381439,187584,193855,368927,181864,187063,12512,5720,6792,2.32,37623
2013,광진구,화양동,13658,24293,11740,12553,21559,10580,10979,2734,1160,1574,1.58,1997
2013,광진구,군자동,10239,22136,11094,11042,21229,10656,10573,907,438,469,2.07,2337
2013,광진구,중곡1동,7654,17021,8443,8578,16532,8226,8306,489,217,272,2.16,1868
2013,광진구,중곡2동,9814,23156,11292,11864,22920,11191,11729,236,101,135,2.34,2302
2013,광진구,중곡3동,8218,18843,9472,9371,18631,9381,9250,212,91,121,2.27,2027
2013,광진구,중곡4동,12736,31966,15837,16129,31764,15764,16000,202,73,129,2.49,3485
2013,광진구,능동,5609,11331,5350,5981,11102,5251,5851,229,99,130,1.98,1226
2013,광진구,구의1동,10831,23226,11218,12008,22454,10870,11584,772,348,424,2.07,2346
2013,광진구,구의2동,11030,27787,13643,14144,27459,13528,13931,328,115,213,2.49,3065
2013,광진구,구의3동,11381,29808,14481,15327,29524,14341,15183,284,140,144,2.59,2754
2013,광진구,광장동,12125,37493,18273,19220,37309,18183,19126,184,90,94,3.08,2819
2013,광진구,자양1동,11041,25374,12541,12833,23777,11783,11994,1597,758,839,2.15,2645
