기간,자치구,동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2015,합계,합계,"4,189,948","10,297,138","5,063,550","5,233,588","10,022,181","4,930,943","5,091,238","274,957","132,607","142,350",2.39,"1,267,563"
2015,종로구,소계,"72,645","163,822","80,531","83,291","154,986","76,548","78,438","8,836","3,983","4,853",2.13,"24,892"
2015,종로구,사직동,"4,372","10,033","4,689","5,344","9,700","4,506","5,194",333,183,150,2.22,"1,688"
2015,종로구,삼청동,"1,407","3,174","1,506","1,668","2,960","1,393","1,567",214,113,101,2.10,633
2015,종로구,부암동,"4,427","11,217","5,433","5,784","10,780","5,250","5,530",437,183,254,2.44,"1,696"
2015,종로구,평창동,"7,350",19414,9209,10205,19212,9112,10100,202,97,105,2.61,2953
2015,종로구,무악동,3142,8619,4070,4549,8541,4042,4499,78,28,50,2.72,1217
2015,종로구,교남동,2333,4875,2339,2536,4797,2305,2492,78,34,44,2.06,872
2015,종로구,가회동,2195,4961,2307,2654,4837,2246,2591,124,61,63,2.2,882
2015,종로구,종로1.2.3.4가동,5487,8786,5040,3746,7876,4553,3323,910,487,423,1.44,1788
2015,종로구,종로5·6가동,3237,6057,3322,2735,5719,3174,2545,338,148,190,1.77,1081
2015,종로구,이화동,4508,9216,4372,4844,8690,4103,4587,526,269,257,1.93,1211
2015,종로구,창신1동,3252,6862,3666,3196,5983,3221,2762,879,445,434,1.84,1084
2015,종로구,창신2동,4483,11040,5564,5476,9831,4996,4835,1209,568,641,2.19,1561
2015,종로구,창신3동,2961,7933,3981,3952,7767,3901,3866,166,80,86,2.62,1060
2015,종로구,숭인1동,3135,7232,3617,3615,6862,3426,3436,370,191,179,2.19,1033
2015,종로구,숭인2동,5353,9983,5094,4889,9528,4912,4616,455,182,273,1.78,1535
2015,종로구,청운효자동,5744,14354,6802,7552,14105,6673,7432,249,129,120,2.46,2087
2015,종로구,혜화동,9259,20066,9520,10546,17798,8735,9063,2268,785,1483,1.92,2511
2015,중구,소계,59321,134329,66755,67574,125733,62687,63046,8596,4068,4528,2.12,20302
2015,중구,소공동,646,1869,1054,815,1248,679,569,621,375,246,1.93,177
2015,중구,회현동,3412,6263,3422,2841,5594,3070,2524,669,352,317,1.64,1278
2015,중구,명동,1447,3521,1589,1932,3010,1303,1707,511,286,225,2.08,638
2015,중구,필동,2319,5101,2559,2542,4300,2229,2071,801,330,471,1.85,779
2015,중구,장충동,2811,5903,2941,2962,5175,2668,2507,728,273,455,1.84,774
2015,중구,광희동,2779,5817,2993,2824,4980,2629,2351,837,364,473,1.79,1039
2015,중구,을지로동,1248,1854,1162,692,1731,1100,631,123,62,61,1.39,438
2015,중구,신당5동,4688,10449,5219,5230,10096,5066,5030,353,153,200,2.15,1501
2015,중구,황학동,6073,13287,6621,6666,12305,6154,6151,982,467,515,2.03,1707
2015,중구,중림동,4251,8979,4560,4419,8656,4386,4270,323,174,149,2.04,1520
2015,중구,신당동,4051,9042,4625,4417,7549,3915,3634,1493,710,783,1.86,1189
2015,중구,다산동,6880,16004,7769,8235,15492,7540,7952,512,229,283,2.25,2293
2015,중구,약수동,7897,19002,9109,9893,18720,8971,9749,282,138,144,2.37,3130
2015,중구,청구동,6525,15555,7455,8100,15367,7379,7988,188,76,112,2.36,2311
2015,중구,동화동,4294,11683,5677,6006,11510,5598,5912,173,79,94,2.68,1528
2015,용산구,소계,107512,247909,121027,126882,233342,113177,120165,14567,7850,6717,2.17,35715
2015,용산구,후암동,8750,19684,9729,9955,19098,9423,9675,586,306,280,2.18,2838
2015,용산구,용산2가동,5776,13106,6437,6669,11802,5687,6115,1304,750,554,2.04,1981
2015,용산구,남영동,5440,8643,5213,3430,8115,4944,3171,528,269,259,1.49,1435
2015,용산구,원효로2동,6062,15709,7397,8312,15542,7334,8208,167,63,104,2.56,2109
2015,용산구,효창동,3816,9816,4790,5026,9652,4721,4931,164,69,95,2.53,1377
2015,용산구,용문동,5209,13027,6275,6752,12867,6199,6668,160,76,84,2.47,1834
2015,용산구,이촌1동,10001,29002,13534,15468,27711,12859,14852,1291,675,616,2.77,3901
2015,용산구,이촌2동,4017,9663,4600,5063,9570,4561,5009,93,39,54,2.38,1604
2015,용산구,이태원1동,4012,9030,4506,4524,7473,3527,3946,1557,979,578,1.86,1439
2015,용산구,이태원2동,4966,11154,5287,5867,9876,4568,5308,1278,719,559,1.99,1811
2015,용산구,서빙고동,5307,14342,6980,7362,13668,6632,7036,674,348,326,2.58,1983
2015,용산구,보광동,8134,17289,8545,8744,16193,7892,8301,1096,653,443,1.99,2615
2015,용산구,청파동,10873,22366,10627,11739,21493,10317,11176,873,310,563,1.98,3052
2015,용산구,원효로1동,6361,14330,7060,7270,13784,6776,7008,546,284,262,2.17,1654
2015,용산구,한강로동,7628,16424,8187,8237,14877,7380,7497,1547,807,740,1.95,2744
2015,용산구,한남동,11160,24324,11860,12464,21621,10357,11264,2703,1503,1200,1.94,3338
2015,성동구,소계,126714,305065,151459,153606,297003,147570,149433,8062,3889,4173,2.34,38164
2015,성동구,왕십리2동,6732,16540,8111,8429,16155,7942,8213,385,169,216,2.4,2090
2015,성동구,마장동,10449,25060,12434,12626,24349,12100,12249,711,334,377,2.33,3211
2015,성동구,사근동,6481,12947,6689,6258,11478,6014,5464,1469,675,794,1.77,1412
2015,성동구,행당1동,6404,15129,7420,7709,14687,7211,7476,442,209,233,2.29,2017
2015,성동구,행당2동,9393,26124,12430,13694,26012,12384,13628,112,46,66,2.77,3104
2015,성동구,응봉동,6234,17019,8122,8897,16956,8095,8861,63,27,36,2.72,2251
