기간,자치구,동,세대,계,계,계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,인구,남자,여자,인구,남자,여자,인구,남자,여자,세대당인구,65세이상고령자
2012,총계,총계,"4,177,970","10,442,426","5,159,665","5,282,761","10,195,318","5,041,336","5,153,982","247,108","118,329","128,779",2.44,"1,110,995"
2012,종로구,소계,"75,659","173,148","85,997","87,151","165,207","82,274","82,933","7,941","3,723","4,218",2.18,"23,868"
2012,종로구,사직동,"4,574","10,477","4,923","5,554","10,033","4,661","5,372",444,262,182,2.19,"1,615"
2012,종로구,삼청동,"1,558","3,485","1,679","1,806","3,322","1,584","1,738",163,95,68,2.13,621
2012,종로구,부암동,"4,566","11,478","5,657","5,821","11,236","5,552","5,684",242,105,137,2.46,"1,654"
2012,종로구,평창동,"7,395",19816,9496,10320,19543,9359,10184,273,137,136,2.64,2712
2012,종로구,무악동,3220,8598,4076,4522,8548,4057,4491,50,19,31,2.65,1154
2012,종로구,교남동,4091,8342,4132,4210,8185,4066,4119,157,66,91,2,1306
2012,종로구,가회동,2408,5520,2633,2887,5397,2578,2819,123,55,68,2.24,870
2012,종로구,종로1.2.3.4가동,5276,8984,5190,3794,7953,4602,3351,1031,588,443,1.51,1656
2012,종로구,종로5·6가동,3185,6438,3466,2972,6120,3327,2793,318,139,179,1.92,973
2012,종로구,이화동,4520,9521,4553,4968,9029,4329,4700,492,224,268,2,1112
2012,종로구,창신1동,3500,7669,4005,3664,6617,3511,3106,1052,494,558,1.89,996
2012,종로구,창신2동,4937,11984,6034,5950,11068,5632,5436,916,402,514,2.24,1468
2012,종로구,창신3동,3087,8502,4240,4262,8395,4194,4201,107,46,61,2.72,987
2012,종로구,숭인1동,3256,7692,3868,3824,7299,3688,3611,393,180,213,2.24,920
2012,종로구,숭인2동,4817,9560,5002,4558,9200,4840,4360,360,162,198,1.91,1410
2012,종로구,청운효자동,6023,15219,7320,7899,15089,7263,7826,130,57,73,2.51,2079
2012,종로구,혜화동,9246,19863,9723,10140,18173,9031,9142,1690,692,998,1.97,2335
2012,중구,소계,61546,140807,70762,70045,133360,67043,66317,7447,3719,3728,2.17,18875
2012,중구,소공동,700,1764,983,781,1357,707,650,407,276,131,1.94,169
2012,중구,회현동,3587,6581,3604,2977,5892,3228,2664,689,376,313,1.64,1213
2012,중구,명동,1657,4113,2005,2108,3392,1515,1877,721,490,231,2.05,630
2012,중구,필동,2431,4989,2672,2317,4573,2474,2099,416,198,218,1.88,726
2012,중구,장충동,2975,6189,3114,3075,5583,2858,2725,606,256,350,1.88,735
2012,중구,광희동,3073,6460,3388,3072,5603,2996,2607,857,392,465,1.82,949
2012,중구,을지로동,1374,2074,1293,781,1978,1250,728,96,43,53,1.44,415
