기간,자치구,동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2016,강남구,논현2동,11027,22639,10602,12037,22358,10458,11900,281,144,137,2.03,2660
2016,강남구,삼성1동,5794,15357,7737,7620,14983,7484,7499,374,253,121,2.59,1815
2016,강남구,삼성2동,13322,30999,14790,16209,30748,14641,16107,251,149,102,2.31,2842
2016,강남구,대치1동,7237,24834,12427,12407,24758,12376,12382,76,51,25,3.42,1866
2016,강남구,대치4동,10026,21292,10072,11220,21013,9935,11078,279,137,142,2.1,1721
2016,강남구,역삼1동,22275,36305,17463,18842,35380,16973,18407,925,490,435,1.59,3136
2016,강남구,역삼2동,14955,37047,17475,19572,36746,17298,19448,301,177,124,2.46,3165
2016,강남구,도곡1동,8490,23057,10953,12104,22911,10883,12028,146,70,76,2.7,2305
2016,강남구,도곡2동,11970,34934,16271,18663,34805,16196,18609,129,75,54,2.91,3695
2016,강남구,개포1동,8227,21162,10187,10975,21101,10162,10939,61,25,36,2.56,2741
2016,강남구,개포4동,7630,18550,9146,9404,18388,9076,9312,162,70,92,2.41,1797
2016,강남구,일원본동,8319,25104,12340,12764,25072,12330,12742,32,10,22,3.01,2047
2016,강남구,일원1동,7387,17275,8434,8841,17111,8377,8734,164,57,107,2.32,2524
2016,강남구,일원2동,6550,16520,7969,8551,16444,7935,8509,76,34,42,2.51,2282
2016,강남구,수서동,7733,16708,7653,9055,16627,7627,9000,81,26,55,2.15,3355
2016,강남구,세곡동,16248,44344,21252,23092,44163,21187,22976,181,65,116,2.72,5068
2016,강남구,압구정동,10788,28360,13129,15231,28202,13056,15146,158,73,85,2.61,4290
2016,강남구,청담동,12237,30623,14483,16140,30352,14325,16027,271,158,113,2.48,3542
2016,강남구,대치2동,13656,42068,21301,20767,41864,21190,20674,204,111,93,3.07,3800
2016,강남구,개포2동,8319,21746,10483,11263,21691,10463,11228,55,20,35,2.61,2101
