기간,자치구,동,인구,시내전출,구내전출,구간전출,시내전출비율(%),구내전출비율(%),구간전출비율(%),평균시내전출비율,평균구내전출비율,평균구간전출비율,평균대비 시내전출,평균대비 구내전출,평균대비 구간전출
2009,강남구,개포1동,22439.0,2795,1351,1444,12.455991799991088,6.020767413877624,6.435224386113463,12.611411436793592,5.360521168488156,7.250890268305437,-0.15541963680250426,-0.15541963680250426,-0.15541963680250426
2009,송파구,방이2동,25913.0,3896,2159,1737,15.034924555242542,8.331725388800988,6.7031991664415544,12.611411436793592,5.360521168488156,7.250890268305437,2.42351311844895,2.42351311844895,2.42351311844895
2009,금천구,독산3동,31944.0,2979,1127,1852,9.325694966190834,3.5280490859003257,5.797645880290508,12.611411436793592,5.360521168488156,7.250890268305437,-3.2857164706027575,-3.2857164706027575,-3.2857164706027575
2009,강북구,삼양동,33616.0,4230,2051,2179,12.583293669681105,6.101261304140885,6.482032365540219,12.611411436793592,5.360521168488156,7.250890268305437,-0.028117767112487257,-0.028117767112487257,-0.028117767112487257
2009,은평구,증산동,22356.0,2356,1030,1326,10.53855788155305,4.607264269100018,5.931293612453032,12.611411436793592,5.360521168488156,7.250890268305437,-2.072853555240542,-2.072853555240542,-2.072853555240542
2009,송파구,방이1동,17898.0,2421,1417,1004,13.52665102246061,7.917085707900324,5.609565314560286,12.611411436793592,5.360521168488156,7.250890268305437,0.9152395856670186,0.9152395856670186,0.9152395856670186
2009,금천구,독산4동,20732.0,2165,1267,898,10.442793748794134,6.111325487169593,4.331468261624542,12.611411436793592,5.360521168488156,7.250890268305437,-2.1686176879994576,-2.1686176879994576,-2.1686176879994576
2009,송파구,문정2동,16508.0,1645,769,876,9.964865519748,4.658347467894354,5.306518051853646,12.611411436793592,5.360521168488156,7.250890268305437,-2.646545917045591,-2.646545917045591,-2.646545917045591
2009,금천구,시흥1동,34433.0,3150,1852,1298,9.14820085383208,5.378561263903813,3.7696395899282664,12.611411436793592,5.360521168488156,7.250890268305437,-3.463210582961512,-3.463210582961512,-3.463210582961512
2009,강북구,삼각산동,24160.0,2459,739,1720,10.177980132450331,3.058774834437086,7.119205298013245,12.611411436793592,5.360521168488156,7.250890268305437,-2.4334313043432605,-2.4334313043432605,-2.4334313043432605
2009,은평구,진관동,21117.0,1316,562,754,6.231945825638111,2.6613628829852725,3.570582942652839,12.611411436793592,5.360521168488156,7.250890268305437,-6.379465611155481,-6.379465611155481,-6.379465611155481
2009,송파구,문정1동,23132.0,3253,1904,1349,14.062770188483485,8.231021960919938,5.831748227563549,12.611411436793592,5.360521168488156,7.250890268305437,1.4513587516898934,1.4513587516898934,1.4513587516898934
2009,금천구,시흥2동,25839.0,1939,700,1239,7.504160377723596,2.709083168853284,4.795077208870312,12.611411436793592,5.360521168488156,7.250890268305437,-5.107251059069996,-5.107251059069996,-5.107251059069996
2009,송파구,마천2동,23602.0,2610,1729,881,11.058384882637064,7.32565036861283,3.7327345140242354,12.611411436793592,5.360521168488156,7.250890268305437,-1.5530265541565278,-1.5530265541565278,-1.5530265541565278
2009,금천구,독산2동,24749.0,2477,1509,968,10.008485191320862,6.097216049133299,3.911269142187563,12.611411436793592,5.360521168488156,7.250890268305437,-2.60292624547273,-2.60292624547273,-2.60292624547273
2009,금천구,시흥3동,12919.0,769,335,434,5.952473101633253,2.5930799597492067,3.3593931418840466,12.611411436793592,5.360521168488156,7.250890268305437,-6.658938335160339,-6.658938335160339,-6.658938335160339
2009,종로구,가회동,5948.0,806,217,589,13.550773369199732,3.6482851378614662,9.902488231338266,12.611411436793592,5.360521168488156,7.250890268305437,0.9393619324061397,0.9393619324061397,0.9393619324061397
2009,송파구,마천1동,19775.0,2119,1327,792,10.715549936788875,6.710493046776232,4.005056890012642,12.611411436793592,5.360521168488156,7.250890268305437,-1.8958615000047168,-1.8958615000047168,-1.8958615000047168
2009,금천구,시흥4동,25533.0,2641,1646,995,10.34347706889124,6.4465593545607645,3.896917714330474,12.611411436793592,5.360521168488156,7.250890268305437,-2.2679343679023525,-2.2679343679023525,-2.2679343679023525
2009,송파구,거여2동,29925.0,3448,2005,1443,11.522138680033416,6.700083542188805,4.822055137844612,12.611411436793592,5.360521168488156,7.250890268305437,-1.0892727567601757,-1.0892727567601757,-1.0892727567601757
2009,강북구,번2동,20729.0,2396,1068,1328,11.558685898982102,5.152202228761638,6.406483670220464,12.611411436793592,5.360521168488156,7.250890268305437,-1.0527255378114901,-1.0527255378114901,-1.0527255378114901
2009,종로구,교남동,9145.0,1208,174,1034,13.209404045926735,1.9026790595954073,11.306724986331329,12.611411436793592,5.360521168488156,7.250890268305437,0.5979926091331436,0.5979926091331436,0.5979926091331436
2009,금천구,시흥5동,25490.0,2385,1548,837,9.356610435464889,6.072969792075324,3.2836406433895644,12.611411436793592,5.360521168488156,7.250890268305437,-3.254801001328703,-3.254801001328703,-3.254801001328703
2009,송파구,거여1동,16332.0,2054,1422,632,12.57653686015185,8.706833210874358,3.869703649277492,12.611411436793592,5.360521168488156,7.250890268305437,-0.03487457664174265,-0.03487457664174265,-0.03487457664174265
2009,노원구,공릉2동,47186.0,4471,1466,3005,9.475268087992202,3.106853727800619,6.368414360191582,12.611411436793592,5.360521168488156,7.250890268305437,-3.13614334880139,-3.13614334880139,-3.13614334880139
2009,강북구,번1동,21126.0,2944,1066,1878,13.935435008993657,5.045914986272839,8.889520022720818,12.611411436793592,5.360521168488156,7.250890268305437,1.3240235722000655,1.3240235722000655,1.3240235722000655
