기간,자치구,동,총전입,총전출,구내전입,구내전출,구간전입,구간전출,시/도간전입,시/도간전출
2012,총계,총계,1555281,1658928,473458,473458,595842,595842,485981,589628
2012,종로구,소계,26001,29398,4935,4935,12530,15681,8536,8782
2012,종로구,사직동,1811,1979,415,417,924,997,472,565
2012,종로구,삼청동,452,548,92,132,214,280,146,136
2012,종로구,부암동,1714,1827,401,352,825,962,488,513
2012,종로구,평창동,2535,2685,462,368,1286,1434,787,883
2012,종로구,무악동,1206,1254,177,135,761,824,268,295
2012,종로구,교남동,1326,2189,208,243,721,1351,397,595
2012,종로구,가회동,780,926,149,207,385,488,246,231
2012,종로구,종로1.2.3.4가동,1732,1677,180,231,844,891,708,555
2012,종로구,종로5·6가동,1038,1055,225,204,447,511,366,340
2012,종로구,이화동,1632,1877,247,383,699,955,686,539
2012,종로구,창신1동,948,1202,279,324,385,571,284,307
2012,종로구,창신2동,1161,1567,339,338,519,799,303,430
2012,종로구,창신3동,1022,1229,287,258,534,640,201,331
2012,종로구,숭인1동,1162,1367,323,250,527,739,312,378
2012,종로구,숭인2동,1633,1708,211,178,936,984,486,546
2012,종로구,청운효자동,2248,2444,507,523,1051,1145,690,776
2012,종로구,혜화동,3601,3864,433,392,1472,2110,1696,1362
2012,중구,소계,24872,25198,4832,4832,13064,13252,6976,7114
2012,중구,소공동,422,380,20,31,256,202,146,147
2012,중구,회현동,1235,996,85,65,784,616,366,315
2012,중구,명동,572,603,36,71,339,308,197,224
2012,중구,필동,845,893,115,147,390,428,340,318
2012,중구,장충동,1154,1189,199,246,392,496,563,447
2012,중구,광희동,1002,1094,183,220,471,525,348,349
2012,중구,을지로동,387,440,27,43,207,225,153,172
2012,중구,신당1동,1279,1616,378,573,517,621,384,422
2012,중구,신당2동,2552,2836,691,782,1124,1265,737,789
2012,중구,신당3동,2845,3066,326,567,1710,1509,809,990
2012,중구,신당4동,2234,2430,585,708,1103,1138,546,584
2012,중구,신당5동,2614,1636,648,464,1457,804,509,368
2012,중구,신당6동,3385,1664,1154,452,1644,785,587,427
2012,중구,황학동,2002,2311,291,331,1143,1301,568,679
2012,중구,중림동,2344,4044,94,132,1527,3029,723,883
2012,용산구,소계,36702,41248,8504,8504,16106,18001,12092,14743
2012,용산구,후암동,2763,3072,820,681,1089,1258,854,1133
2012,용산구,용산2가동,1509,1917,411,475,546,666,552,776
2012,용산구,남영동,1675,1706,436,417,652,733,587,556
2012,용산구,원효로2동,2090,2274,608,479,945,1000,537,795
2012,용산구,효창동,1842,1967,615,493,808,911,419,563
2012,용산구,용문동,1871,2307,563,645,803,958,505,704
2012,용산구,이촌1동,3279,3634,602,641,1703,1836,974,1157
2012,용산구,이촌2동,968,1204,244,276,415,483,309,445
2012,용산구,이태원1동,1413,1552,443,493,520,565,450,494
2012,용산구,이태원2동,1529,1788,371,439,672,722,486,627
2012,용산구,서빙고동,2180,2371,471,475,795,810,914,1086
2012,용산구,보광동,2580,2945,778,622,912,1104,890,1219
2012,용산구,청파동,3872,4599,448,608,1881,2266,1543,1725
2012,용산구,원효로1동,2479,2577,697,609,1095,1099,687,869
2012,용산구,한강로동,2822,2990,492,521,1304,1431,1026,1038
2012,용산구,한남동,3830,4345,505,630,1966,2159,1359,1556
2012,성동구,소계,48010,50610,12882,12882,21433,22444,13695,15284
2012,성동구,왕십리2동,2550,2881,748,801,1095,1276,707,804
2012,성동구,마장동,3323,3669,841,778,1306,1690,1176,1201
2012,성동구,사근동,2084,2252,301,503,507,799,1276,950
2012,성동구,행당1동,2578,2723,804,802,1025,1081,749,840
2012,성동구,행당2동,3241,3534,908,870,1434,1513,899,1151
2012,성동구,응봉동,2521,2674,880,860,1067,1097,574,717
2012,성동구,금호1가동,2265,2467,983,1076,837,826,445,565
2012,성동구,금호4가동,3290,3552,1008,1386,1536,1319,746,847
2012,성동구,성수1가1동,2633,2952,698,872,1240,1162,695,918
2012,성동구,성수1가2동,2897,3207,637,664,1298,1393,962,1150
2012,성동구,성수2가1동,2679,3152,633,536,1189,1451,857,1165
2012,성동구,성수2가3동,2081,2034,419,375,982,972,680,687
2012,성동구,송정동,1681,1873,189,204,963,1028,529,641
2012,성동구,용답동,2183,2490,270,184,1213,1497,700,809
2012,성동구,왕십리도선동,1978,1968,625,542,753,794,600,632
2012,성동구,금호2.3가동,6777,3882,2544,1038,3080,1826,1153,1018
2012,성동구,옥수동,3249,5300,394,1391,1908,2720,947,1189
2012,광진구,소계,58688,61194,17181,17181,22632,22889,18875,21124
2012,광진구,화양동,5135,5151,652,1003,1709,2177,2774,1971
2012,광진구,군자동,3625,3772,739,851,1502,1632,1384,1289
2012,광진구,중곡1동,2771,2954,940,899,1128,1099,703,956
2012,광진구,중곡2동,3631,3702,1383,1169,1285,1346,963,1187
2012,광진구,중곡3동,2829,3229,820,887,1306,1416,703,926
2012,광진구,중곡4동,4616,4662,1666,1500,1791,1700,1159,1462
2012,광진구,능동,2258,2322,625,700,805,807,828,815
2012,광진구,구의1동,4158,4479,1238,1381,1463,1482,1457,1616
2012,광진구,구의2동,4101,3749,1598,1180,1463,1233,1040,1336
2012,광진구,구의3동,4437,5037,1394,1543,1767,1719,1276,1775
2012,광진구,광장동,5733,4377,1415,912,2651,1886,1667,1579
2012,광진구,자양1동,3831,4409,1394,1573,1157,1353,1280,1483
2012,광진구,자양2동,3833,4394,1374,1311,1322,1404,1137,1679
2012,광진구,자양3동,4342,4714,1181,1194,1904,1938,1257,1582
2012,광진구,자양4동,3388,4243,762,1078,1379,1697,1247,1468
2012,동대문구,소계,51643,54915,13798,13798,20956,22422,16889,18695
2012,동대문구,회기동,2317,2407,532,592,673,860,1112,955
2012,동대문구,휘경1동,2982,3468,941,1029,921,1291,1120,1148
2012,동대문구,휘경2동,4727,3845,1423,997,1754,1343,1550,1505
2012,동대문구,청량리동,2996,3143,962,879,1134,1244,900,1020
2012,동대문구,용신동,4826,5186,677,809,2507,2678,1642,1699
2012,동대문구,제기동,4192,4438,860,869,1819,2109,1513,1460
2012,동대문구,전농1동,3274,3783,1035,1181,1183,1381,1056,1221
