기간,자치구,동,총전입,총전출,구내전입,구내전출,구간전입,구간전출,시/도간전입,시/도간전출
2015,합계,합계,1589431,1726687,524267,524267,605262,605262,459902,597158
2015,종로구,소계,24951,27470,4617,4617,11846,14426,8488,8427
2015,종로구,사직동,1708,1840,294,364,967,1030,447,446
2015,종로구,삼청동,341,448,69,131,161,197,111,120
2015,종로구,부암동,1600,1781,447,387,752,925,401,469
2015,종로구,평창동,2615,2923,426,410,1469,1637,720,876
2015,종로구,무악동,1529,1388,215,155,980,860,334,373
2015,종로구,교남동,782,905,181,113,341,450,260,342
2015,종로구,가회동,541,788,91,143,263,392,187,253
2015,종로구,종로1.2.3.4가동,1872,1922,184,287,821,960,867,675
2015,종로구,종로5·6가동,1129,1142,175,272,410,492,544,378
2015,종로구,이화동,1563,1723,258,266,642,902,663,555
2015,종로구,창신1동,815,1041,263,319,331,471,221,251
2015,종로구,창신2동,943,1321,273,332,404,637,266,352
2015,종로구,창신3동,1113,1313,317,290,562,678,234,345
2015,종로구,숭인1동,1198,1355,386,331,545,665,267,359
2015,종로구,숭인2동,1968,2091,252,154,982,1304,734,633
2015,종로구,청운효자동,1969,2232,452,479,893,1043,624,710
2015,종로구,혜화동,3265,3257,334,184,1323,1783,1608,1290
2015,중구,소계,20078,22950,4070,4070,10073,12126,5935,6754
2015,중구,소공동,312,354,18,11,174,251,120,92
2015,중구,회현동,935,1151,67,88,564,765,304,298
2015,중구,명동,471,556,43,55,264,283,164,218
2015,중구,필동,752,914,120,131,345,460,287,323
2015,중구,장충동,1001,1156,187,238,256,463,558,455
2015,중구,광희동,781,974,161,211,343,457,277,306
2015,중구,을지로동,351,415,35,42,199,217,117,156
2015,중구,신당5동,1606,1990,515,480,745,1037,346,473
2015,중구,황학동,2359,2477,303,312,1356,1467,700,698
2015,중구,중림동,1402,2049,45,53,908,1444,449,552
2015,중구,신당동,1717,1522,452,402,789,615,476,505
2015,중구,다산동,2288,2641,611,632,1007,1175,670,834
2015,중구,약수동,2380,2645,418,418,1304,1386,658,841
2015,중구,청구동,2214,2308,578,500,1121,1228,515,580
2015,중구,동화동,1509,1798,517,497,698,878,294,423
2015,용산구,소계,37064,41361,9049,9049,16549,18532,11466,13780
2015,용산구,후암동,2594,2782,804,635,998,1168,792,979
2015,용산구,용산2가동,1550,1870,488,487,562,716,500,667
2015,용산구,남영동,1864,1845,404,419,806,839,654,587
2015,용산구,원효로2동,2178,2237,720,458,927,1083,531,696
2015,용산구,효창동,1403,2921,410,1034,659,1299,334,588
2015,용산구,용문동,2041,2125,827,531,719,973,495,621
2015,용산구,이촌1동,4109,3431,730,653,2384,1700,995,1078
2015,용산구,이촌2동,1450,1665,481,400,628,648,341,617
2015,용산구,이태원1동,1206,1597,315,523,505,564,386,510
2015,용산구,이태원2동,1361,1945,332,566,619,740,410,639
2015,용산구,서빙고동,2437,2556,496,435,856,974,1085,1147
2015,용산구,보광동,2160,2704,627,543,829,1144,704,1017
2015,용산구,청파동,3494,4102,563,508,1566,2113,1365,1481
2015,용산구,원효로1동,3288,2785,838,671,1515,1223,935,891
2015,용산구,한강로동,2681,2962,538,653,1276,1364,867,945
2015,용산구,한남동,3248,3834,476,533,1700,1984,1072,1317
2015,성동구,소계,48105,49091,12008,12008,23324,21935,12773,15148
2015,성동구,왕십리2동,2296,2665,751,853,986,1075,559,737
2015,성동구,마장동,3588,3874,856,900,1491,1713,1241,1261
2015,성동구,사근동,2628,2400,410,509,826,881,1392,1010
2015,성동구,행당1동,2259,2745,768,996,858,1036,633,713
2015,성동구,행당2동,3273,3762,896,1075,1562,1632,815,1055
2015,성동구,응봉동,2405,2663,849,795,1017,1084,539,784
2015,성동구,금호1가동,1747,2155,678,752,701,782,368,621
2015,성동구,금호4가동,2225,2606,706,806,1041,1115,478,685
2015,성동구,성수1가1동,2628,2938,804,819,1172,1207,652,912
2015,성동구,성수1가2동,2568,3322,617,845,1116,1396,835,1081
2015,성동구,성수2가1동,2586,3125,600,665,1235,1473,751,987
2015,성동구,성수2가3동,2151,2402,510,526,961,1123,680,753
2015,성동구,송정동,1725,2018,239,193,1087,1148,399,677
2015,성동구,용답동,2310,2526,277,146,1332,1560,701,820
2015,성동구,왕십리도선동,7012,2418,1719,498,4200,1148,1093,772
2015,성동구,금호2.3가동,3063,3346,883,917,1486,1376,694,1053
2015,성동구,옥수동,3641,4126,445,713,2253,2186,943,1227
2015,광진구,소계,58871,63920,18401,18401,22949,23570,17521,21949
2015,광진구,화양동,5481,5535,633,1028,1798,2255,3050,2252
2015,광진구,군자동,3553,4042,840,907,1533,1732,1180,1403
2015,광진구,중곡1동,2968,3202,994,1120,1268,1173,706,909
2015,광진구,중곡2동,3993,4159,1555,1513,1506,1424,932,1222
2015,광진구,중곡3동,3118,3574,974,937,1478,1633,666,1004
2015,광진구,중곡4동,4943,4942,1994,1534,1843,1762,1106,1646
2015,광진구,능동,2484,2336,732,614,1043,889,709,833
2015,광진구,구의1동,4668,4569,1546,1374,1615,1577,1507,1618
2015,광진구,구의2동,3448,4207,1367,1483,1228,1279,853,1445
2015,광진구,구의3동,4589,4731,1597,1304,1736,1745,1256,1682
