기간,자치구,동,총전입,총전출,구내전입,구내전출,구간전입,구간전출,시/도간전입,시/도간전출
2013,합계,합계,1520090,1620640,468394,468394,584614,584614,467082,567632
2013,종로구,소계,24676,30007,4921,4921,11803,16405,7952,8681
2013,종로구,사직동,1665,1872,406,360,828,990,431,522
2013,종로구,삼청동,431,538,85,123,228,267,118,148
2013,종로구,부암동,1668,1802,473,391,750,845,445,566
2013,종로구,평창동,2534,2559,502,372,1315,1301,717,886
2013,종로구,무악동,1249,1256,228,117,742,801,279,338
2013,종로구,교남동,849,3676,144,364,417,2625,288,687
2013,종로구,가회동,671,845,129,147,330,451,212,247
2013,종로구,종로1.2.3.4가동,1686,1756,183,218,839,926,664,612
2013,종로구,종로5·6가동,892,1069,203,258,374,519,315,292
2013,종로구,이화동,1694,1739,330,317,754,916,610,506
2013,종로구,창신1동,932,1210,312,320,393,605,227,285
2013,종로구,창신2동,1029,1405,343,335,403,718,283,352
2013,종로구,창신3동,1004,1247,286,334,479,595,239,318
2013,종로구,숭인1동,1096,1205,360,292,498,606,238,307
2013,종로구,숭인2동,2054,1732,239,167,1114,1056,701,509
2013,종로구,청운효자동,2057,2622,418,592,980,1269,659,761
2013,종로구,혜화동,3165,3474,280,214,1359,1915,1526,1345
2013,중구,소계,19191,22508,3608,3608,9623,12152,5960,6748
2013,중구,소공동,356,392,24,10,206,239,126,143
2013,중구,회현동,1003,995,60,64,625,618,318,313
2013,중구,명동,438,545,22,55,252,311,164,179
2013,중구,필동,773,861,102,109,339,425,332,327
2013,중구,장충동,1029,1079,176,187,316,518,537,374
2013,중구,광희동,726,955,118,175,331,445,277,335
2013,중구,을지로동,299,369,37,30,156,207,106,132
2013,중구,신당5동,1732,1853,428,461,936,997,368,395
2013,중구,황학동,1867,2001,281,261,956,1114,630,626
2013,중구,중림동,1497,2646,68,82,944,1895,485,669
2013,중구,신당동,1197,1425,313,372,519,652,365,401
2013,중구,다산동,2282,2575,608,532,981,1237,693,806
2013,중구,약수동,2362,2828,372,332,1323,1607,667,889
2013,중구,청구동,1970,2266,431,494,981,1101,558,671
2013,중구,동화동,1660,1718,568,444,758,786,334,488
2013,용산구,소계,34935,39623,8140,8140,15304,17614,11491,13869
2013,용산구,후암동,2577,3020,709,690,1004,1226,864,1104
2013,용산구,용산2가동,1585,1931,445,423,599,741,541,767
2013,용산구,남영동,1920,1719,475,404,869,762,576,553
2013,용산구,원효로2동,1868,2037,513,440,833,969,522,628
2013,용산구,효창동,1723,1846,580,488,751,779,392,579
2013,용산구,용문동,1843,2028,594,572,759,810,490,646
2013,용산구,이촌1동,2998,3252,609,573,1572,1625,817,1054
2013,용산구,이촌2동,1126,1517,361,340,459,611,306,566
2013,용산구,이태원1동,1263,1542,346,464,506,614,411,464
2013,용산구,이태원2동,1608,1759,352,457,697,739,559,563
2013,용산구,서빙고동,2247,2512,464,451,801,963,982,1098
2013,용산구,보광동,2340,2775,709,503,819,1170,812,1102
2013,용산구,청파동,3516,4127,468,550,1656,2096,1392,1481
2013,용산구,원효로1동,2448,2459,654,558,1046,1106,748,795
2013,용산구,한강로동,2569,3019,477,572,1229,1438,863,1009
2013,용산구,한남동,3304,4080,384,655,1704,1965,1216,1460
2013,성동구,소계,45399,47356,11302,11302,21032,21460,13065,14594
2013,성동구,왕십리2동,2298,2681,669,754,1019,1165,610,762
2013,성동구,마장동,3170,3601,716,764,1307,1697,1147,1140
2013,성동구,사근동,2088,2139,323,408,503,887,1262,844
2013,성동구,행당1동,2481,2820,775,782,1035,1207,671,831
2013,성동구,행당2동,3099,3605,880,824,1431,1669,788,1112
2013,성동구,응봉동,2305,2622,856,725,848,1091,601,806
2013,성동구,금호1가동,1684,2996,567,1185,717,1134,400,677
2013,성동구,금호4가동,2617,2557,822,869,1274,1014,521,674
2013,성동구,성수1가1동,2357,2804,705,819,994,1098,658,887
2013,성동구,성수1가2동,2696,3222,677,633,1152,1473,867,1116
2013,성동구,성수2가1동,2444,2996,592,577,1064,1401,788,1018
2013,성동구,성수2가3동,2096,2209,457,472,935,1025,704,712
2013,성동구,송정동,1683,1831,235,155,1003,1082,445,594
2013,성동구,용답동,2113,2314,209,134,1197,1433,707,747
2013,성동구,왕십리도선동,1836,2037,526,573,762,845,548,619
2013,성동구,금호2.3가동,3503,3429,1153,980,1509,1509,841,940
2013,성동구,옥수동,6929,3493,1140,648,4282,1730,1507,1115
2013,광진구,소계,56235,60597,16772,16772,21261,23081,18202,20744
2013,광진구,화양동,5403,5014,646,959,1693,2032,3064,2023
2013,광진구,군자동,3474,3691,744,758,1372,1621,1358,1312
2013,광진구,중곡1동,2772,3047,973,985,1077,1203,722,859
2013,광진구,중곡2동,3727,3968,1393,1383,1373,1458,961,1127
2013,광진구,중곡3동,2899,3263,900,868,1243,1392,756,1003
2013,광진구,중곡4동,4606,5115,1706,1587,1813,1929,1087,1599
2013,광진구,능동,2253,2310,635,602,878,985,740,723
2013,광진구,구의1동,4150,4519,1295,1413,1420,1537,1435,1569
2013,광진구,구의2동,3650,3711,1456,1145,1253,1264,941,1302
2013,광진구,구의3동,4105,4549,1471,1228,1479,1654,1155,1667
2013,광진구,광장동,4797,4552,1034,1097,2238,1758,1525,1697
2013,광진구,자양1동,3706,4211,1402,1436,1150,1315,1154,1460
2013,광진구,자양2동,3582,4244,1374,1237,1190,1486,1018,1521
2013,광진구,자양3동,3813,4374,1042,1090,1716,1826,1055,1458
2013,광진구,자양4동,3298,4029,701,984,1366,1621,1231,1424
2013,동대문구,소계,56066,56084,16464,16464,22709,21505,16893,18115
