기간,자치구,동,총전입,총전출,구내전입,구내전출,구간전입,구간전출,시/도간전입,시/도간전출
2017,합계,합계,1472937,1571423,454536,454536,564271,564271,454130,552616
2017,종로구,소계,28020,25814,4512,4512,14610,13178,8898,8124
2017,종로구,사직동,1733,1993,315,517,899,993,519,483
2017,종로구,삼청동,405,393,68,83,203,187,134,123
2017,종로구,부암동,1320,1608,381,403,588,720,351,485
2017,종로구,평창동,2417,2732,380,458,1187,1296,850,978
2017,종로구,무악동,1040,1183,133,308,672,549,235,326
2017,종로구,교남동,6530,997,892,102,4539,557,1099,338
2017,종로구,가회동,603,703,91,147,332,343,180,213
2017,종로구,종로1.2.3.4가동,1690,1774,136,264,757,870,797,640
2017,종로구,종로5·6가동,989,1093,174,219,363,516,452,358
2017,종로구,이화동,1453,1640,227,240,603,875,623,525
2017,종로구,창신1동,739,924,202,250,335,447,202,227
2017,종로구,창신2동,760,1079,212,262,342,519,206,298
2017,종로구,창신3동,863,1082,184,192,446,577,233,313
2017,종로구,숭인1동,903,1100,265,199,415,603,223,298
2017,종로구,숭인2동,1939,1949,233,135,1023,1245,683,569
2017,종로구,청운효자동,1626,2129,338,500,768,992,520,637
2017,종로구,혜화동,3010,3435,281,233,1138,1889,1591,1313
2017,중구,소계,20904,20574,3338,3338,11189,11319,6377,5917
2017,중구,소공동,527,453,27,31,335,301,165,121
2017,중구,회현동,802,918,66,61,456,600,280,257
2017,중구,명동,438,495,43,72,228,285,167,138
2017,중구,필동,650,793,84,125,261,386,305,282
2017,중구,장충동,857,1046,135,203,247,420,475,423
2017,중구,광희동,874,931,145,161,421,499,308,271
2017,중구,을지로동,307,368,30,35,173,215,104,118
2017,중구,신당5동,1259,1563,297,302,640,839,322,422
2017,중구,황학동,2231,2386,299,236,1244,1524,688,626
2017,중구,중림동,4150,1499,134,59,2974,946,1042,494
2017,중구,신당동,1616,1618,375,406,737,770,504,442
2017,중구,다산동,2035,2450,535,602,894,1215,606,633
2017,중구,약수동,2159,2499,360,302,1146,1394,653,803
2017,중구,청구동,1743,1984,414,384,863,1079,466,521
2017,중구,동화동,1256,1571,394,359,570,846,292,366
2017,용산구,소계,35154,36622,7302,7302,16054,16866,11798,12454
2017,용산구,후암동,2346,2799,657,573,876,1202,813,1024
2017,용산구,용산2가동,1412,1806,382,433,527,768,503,605
2017,용산구,남영동,1668,1688,317,393,738,752,613,543
2017,용산구,원효로2동,1861,2152,507,430,873,1053,481,669
2017,용산구,효창동,1477,1484,406,362,649,705,422,417
2017,용산구,용문동,1817,1927,495,441,800,829,522,657
2017,용산구,이촌1동,3004,3223,546,579,1656,1639,802,1005
2017,용산구,이촌2동,1154,1358,274,332,509,583,371,443
2017,용산구,이태원1동,1133,1299,271,422,495,501,367,376
2017,용산구,이태원2동,1353,1487,284,344,581,632,488,511
2017,용산구,서빙고동,2167,2410,402,435,814,912,951,1063
2017,용산구,보광동,1980,2433,556,479,749,1052,675,902
2017,용산구,청파동,3005,3626,445,492,1229,1783,1331,1351
2017,용산구,원효로1동,3170,2761,623,575,1524,1313,1023,873
2017,용산구,한강로동,4306,2677,682,475,2310,1278,1314,924
2017,용산구,한남동,3301,3492,455,537,1724,1864,1122,1091
2017,성동구,소계,50416,46031,11151,11151,25046,20756,14219,14124
2017,성동구,왕십리2동,3665,2493,1057,749,1811,982,797,762
2017,성동구,마장동,2948,3347,595,761,1277,1494,1076,1092
2017,성동구,사근동,2406,2403,327,532,640,924,1439,947
2017,성동구,행당1동,2077,2360,626,805,796,904,655,651
2017,성동구,행당2동,3037,3472,769,970,1474,1585,794,917
2017,성동구,응봉동,2052,2310,702,727,861,868,489,715
2017,성동구,금호1가동,1436,1700,474,595,634,671,328,434
2017,성동구,금호4가동,2001,2194,565,692,931,823,505,679
2017,성동구,성수1가1동,3242,2846,726,735,1752,1211,764,900
2017,성동구,성수1가2동,2306,2923,543,772,979,1264,784,887
2017,성동구,성수2가1동,2286,2871,573,552,1069,1385,644,934
2017,성동구,성수2가3동,2154,2245,452,518,980,1049,722,678
2017,성동구,송정동,1584,1663,242,144,906,955,436,564
2017,성동구,용답동,2161,2466,217,155,1230,1526,714,785
2017,성동구,왕십리도선동,8070,3592,1632,712,4661,1790,1777,1090
2017,성동구,금호2.3가동,3308,3316,812,1048,1632,1334,864,934
2017,성동구,옥수동,5683,3830,839,684,3413,1991,1431,1155
