,2008년12월_총인구수,2009년12월_총인구수,2010년12월_총인구수,2011년12월_총인구수,2012년12월_총인구수,2013년12월_총인구수,2014년12월_총인구수,2015년12월_총인구수,2016년12월_총인구수,2017년12월_총인구수,행정구역
11,20155.0,19815.0,19557.0,17523.0,16719.0,16327.0,15746.0,15021.0,16666.0,16351.0,서울특별시 영등포구 신길제3동(1156065000)
12,13898.0,13602.0,13495.0,13038.0,12721.0,12379.0,11958.0,11743.0,10362.0,9620.0,서울특별시 영등포구 신길제4동(1156066000)
13,18157.0,17802.0,17619.0,17120.0,16528.0,15821.0,15190.0,14903.0,12753.0,11022.0,서울특별시 영등포구 신길제5동(1156067000)
14,24792.0,24603.0,24897.0,23841.0,23193.0,22631.0,22148.0,21839.0,19903.0,18628.0,서울특별시 영등포구 신길제6동(1156068000)
15,19663.0,19546.0,19054.0,16100.0,15445.0,15100.0,15100.0,14829.0,12856.0,17105.0,서울특별시 영등포구 신길제7동(1156069000)
16,18078.0,17434.0,17272.0,17073.0,16541.0,16377.0,15844.0,15339.0,14449.0,13610.0,서울특별시 영등포구 대림제1동(1156070000)
17,19538.0,19533.0,19081.0,18039.0,17460.0,16558.0,15610.0,14509.0,13741.0,13110.0,서울특별시 영등포구 대림제2동(1156071000)
18,30455.0,29937.0,29584.0,28951.0,28258.0,27828.0,27193.0,26390.0,25875.0,25133.0,서울특별시 영등포구 대림제3동(1156072000)
1,20210.0,19934.0,20355.0,20156.0,19923.0,19561.0,19162.0,19098.0,18752.0,18327.0,서울특별시 용산구 후암동(1117051000)
2,13233.0,13133.0,13355.0,13142.0,12783.0,12477.0,12072.0,11802.0,11371.0,10981.0,서울특별시 용산구 용산2가동(1117052000)
3,7456.0,7474.0,7947.0,7852.0,7801.0,7987.0,8093.0,8115.0,8064.0,7974.0,서울특별시 용산구 남영동(1117053000)
4,23476.0,23798.0,24011.0,23634.0,23031.0,22494.0,22018.0,21493.0,21039.0,20415.0,서울특별시 용산구 청파동(1117055500)
5,10209.0,10188.0,10979.0,12523.0,12569.0,12709.0,13113.0,13784.0,14129.0,14630.0,서울특별시 용산구 원효로제1동(1117056000)
