기간,자치구,동,총전입,총전출,구내전입,구내전출,구간전입,구간전출,시/도간전입,시/도간전출
2010,합계,합계,1733015,1848038,520345,520345,679363,679363,533307,648330
2010,종로구,소계,29208,32928,5703,5703,14256,17822,9249,9403
2010,종로구,사직동,2041,2261,433,445,1017,1209,591,607
2010,종로구,삼청동,535,718,119,158,255,361,161,199
2010,종로구,부암동,1800,2076,458,455,859,1058,483,563
2010,종로구,평창동,3030,3129,493,457,1694,1838,843,834
2010,종로구,무악동,1329,1541,170,171,786,1016,373,354
2010,종로구,교남동,1535,1656,230,168,825,977,480,511
2010,종로구,가회동,818,1053,171,215,433,604,214,234
2010,종로구,종로1.2.3.4가동,1815,1876,229,212,889,1014,697,650
2010,종로구,종로5·6가동,1126,1276,235,291,552,659,339,326
2010,종로구,이화동,1800,2071,334,385,781,1072,685,614
2010,종로구,혜화동,2613,2873,442,358,1133,1613,1038,902
2010,종로구,명륜3가동,1414,1683,222,268,467,770,725,645
2010,종로구,창신1동,1150,1345,335,377,477,613,338,355
2010,종로구,창신2동,1366,1600,383,370,591,755,392,475
2010,종로구,창신3동,1206,1349,271,280,641,729,294,340
2010,종로구,숭인1동,1352,1476,353,307,699,777,300,392
2010,종로구,숭인2동,1840,2046,275,206,994,1257,571,583
2010,종로구,청운효자동,2438,2899,550,580,1163,1500,725,819
2010,중구,소계,23524,24766,4296,4296,12336,13273,6892,7197
2010,중구,소공동,427,354,16,15,262,227,149,112
2010,중구,회현동,1460,1007,47,84,980,603,433,320
2010,중구,명동,927,572,42,36,586,341,299,195
2010,중구,필동,908,1011,172,162,448,509,288,340
2010,중구,장충동,1179,1386,212,293,425,603,542,490
2010,중구,광희동,1439,1183,280,253,770,559,389,371
2010,중구,을지로동,467,543,41,75,231,293,195,175
2010,중구,신당1동,1453,1732,385,453,602,770,466,509
2010,중구,신당2동,2666,3171,786,714,1116,1509,764,948
2010,중구,신당3동,2863,3254,504,500,1557,1811,802,943
2010,중구,신당4동,2133,2708,502,573,1007,1286,624,849
2010,중구,신당5동,1296,1475,374,402,615,780,307,293
2010,중구,신당6동,1449,1685,470,432,668,886,311,367
2010,중구,황학동,2983,2577,400,240,1833,1670,750,667
2010,중구,중림동,1874,2108,65,64,1236,1426,573,618
2010,용산구,소계,40673,44770,9341,9341,18295,20165,13037,15264
2010,용산구,후암동,3107,3495,817,744,1318,1504,972,1247
2010,용산구,용산2가동,1905,2181,520,545,743,836,642,800
2010,용산구,남영동,1731,1838,405,422,719,826,607,590
2010,용산구,원효로2동,2325,2636,588,534,1082,1247,655,855
2010,용산구,효창동,2570,2061,800,579,1199,919,571,563
2010,용산구,용문동,2451,2266,778,631,1057,986,616,649
2010,용산구,이촌1동,3760,4679,677,837,1949,2274,1134,1568
2010,용산구,이촌2동,1189,1325,352,300,452,559,385,466
2010,용산구,이태원1동,1532,1670,437,519,585,644,510,507
2010,용산구,이태원2동,1716,2028,396,449,750,864,570,715
2010,용산구,서빙고동,1511,1687,423,372,627,749,461,566
2010,용산구,보광동,2679,3383,750,725,1076,1402,853,1256
2010,용산구,청파동,4327,4945,521,706,1992,2456,1814,1783
2010,용산구,원효로1동,2719,2373,704,548,1253,1039,762,786
2010,용산구,한강로동,3165,3603,580,767,1577,1638,1008,1198
2010,용산구,한남동,3986,4600,593,663,1916,2222,1477,1715
2010,성동구,소계,46630,52843,11055,11055,21479,24862,14096,16926
2010,성동구,왕십리2동,2678,3341,783,920,1223,1471,672,950
2010,성동구,마장동,3545,4050,928,759,1507,1944,1110,1347
2010,성동구,사근동,2402,2558,383,552,662,964,1357,1042
2010,성동구,행당1동,2943,3413,939,1004,1121,1396,883,1013
2010,성동구,행당2동,4449,3769,1411,767,2037,1856,1001,1146
2010,성동구,응봉동,2641,3035,845,818,1107,1258,689,959
2010,성동구,금호1가동,2148,2643,667,801,944,1100,537,742
2010,성동구,금호4가동,2423,2767,583,628,1186,1338,654,801
2010,성동구,성수1가1동,2543,2992,695,686,1091,1192,757,1114
