기간,자치구,동,총전입,총전출,구내전입,구내전출,구간전입,구간전출,시/도간전입,시/도간전출
2014,합계,합계,1573594,1661425,495401,495401,602622,602622,475571,563402
2014,종로구,소계,24191,27484,4507,4507,11243,14657,8441,8320
2014,종로구,사직동,1694,1840,377,360,833,1003,484,477
2014,종로구,삼청동,339,498,64,126,151,228,124,144
2014,종로구,부암동,1540,1733,446,372,723,843,371,518
2014,종로구,평창동,2512,2705,450,419,1391,1448,671,838
2014,종로구,무악동,1051,1276,116,133,671,812,264,331
2014,종로구,교남동,805,1237,151,141,379,709,275,387
2014,종로구,가회동,655,815,116,154,324,412,215,249
2014,종로구,종로1.2.3.4가동,1951,1892,190,224,808,996,953,672
2014,종로구,종로5·6가동,870,1032,155,212,354,487,361,333
2014,종로구,이화동,3237,3383,269,217,1264,1849,1704,1317
2014,종로구,창신1동,919,1044,288,305,376,457,255,282
2014,종로구,창신2동,897,1365,282,374,371,605,244,386
2014,종로구,창신3동,990,1270,289,267,426,738,275,265
2014,종로구,숭인1동,1085,1344,356,297,481,780,248,267
2014,종로구,숭인2동,2026,1938,268,151,1017,1174,741,613
2014,종로구,청운효자동,1996,2284,413,479,941,1123,642,682
2014,종로구,혜화동,1624,1828,277,276,733,993,614,559
2014,중구,소계,20105,22972,3967,3967,10018,12323,6120,6682
2014,중구,소공동,330,402,35,26,186,257,109,119
2014,중구,회현동,895,995,50,61,550,595,295,339
2014,중구,명동,461,660,37,88,254,373,170,199
2014,중구,필동,829,935,105,132,391,469,333,334
2014,중구,장충동,1008,1257,159,196,335,588,514,473
2014,중구,광희동,799,995,172,170,350,526,277,299
2014,중구,을지로동,300,403,36,38,162,227,102,138
2014,중구,신당5동,1672,1693,493,393,774,905,405,395
2014,중구,황학동,2469,2500,318,314,1383,1541,768,645
2014,중구,중림동,1502,1910,56,70,942,1228,504,612
2014,중구,신당동,1160,1447,309,480,466,603,385,364
2014,중구,다산동,2305,2685,646,616,983,1292,676,777
2014,중구,약수동,2557,2784,388,387,1421,1528,748,869
2014,중구,청구동,2086,2353,560,509,1027,1190,499,654
2014,중구,동화동,1732,1953,603,487,794,1001,335,465
2014,용산구,소계,35618,40635,8454,8454,15452,18266,11712,13915
2014,용산구,후암동,2547,3004,823,645,941,1274,783,1085
