기간,자치구,동,총전입,총전출,구내전입,구내전출,구간전입,구간전출,시/도간전입,시/도간전출
2016,합계,합계,1515602,1655859,487722,487722,574193,574193,453687,593944
2016,종로구,소계,23604,26386,4145,4145,11135,13913,8324,8328
2016,종로구,사직동,1725,1790,290,301,928,988,507,501
2016,종로구,삼청동,348,420,60,76,191,207,97,137
2016,종로구,부암동,1415,1651,381,349,660,799,374,503
2016,종로구,평창동,2667,2664,408,332,1320,1452,939,880
2016,종로구,무악동,1071,1187,131,86,678,729,262,372
2016,종로구,교남동,691,839,153,110,347,467,191,262
2016,종로구,가회동,564,779,73,136,306,415,185,228
2016,종로구,종로1.2.3.4가동,1757,1909,128,250,856,974,773,685
2016,종로구,종로5·6가동,920,1137,163,281,342,493,415,363
2016,종로구,이화동,1507,1800,245,294,627,958,635,548
2016,종로구,창신1동,865,1099,262,321,372,510,231,268
2016,종로구,창신2동,953,1240,282,299,431,586,240,355
2016,종로구,창신3동,1030,1272,239,247,512,671,279,354
2016,종로구,숭인1동,1018,1137,299,244,471,579,248,314
2016,종로구,숭인2동,2108,1972,277,119,1058,1229,773,624
2016,종로구,청운효자동,1756,2163,380,493,765,1027,611,643
2016,종로구,혜화동,3209,3327,374,207,1271,1829,1564,1291
2016,중구,소계,20595,21655,3844,3844,10582,11618,6169,6193
2016,중구,소공동,985,313,40,22,711,193,234,98
2016,중구,회현동,884,1005,40,109,514,605,330,291
2016,중구,명동,494,520,57,52,283,300,154,168
2016,중구,필동,747,867,97,117,307,431,343,319
2016,중구,장충동,924,1158,137,240,286,501,501,417
2016,중구,광희동,989,894,205,165,457,453,327,276
2016,중구,을지로동,351,379,44,46,188,210,119,123
2016,중구,신당5동,1528,1881,398,429,785,1018,345,434
2016,중구,황학동,2298,2436,298,312,1285,1470,715,654
2016,중구,중림동,1401,1471,66,65,907,927,428,479
2016,중구,신당동,1834,1551,444,475,892,680,498,396
2016,중구,다산동,2221,2420,555,561,997,1138,669,721
2016,중구,약수동,2388,2718,423,382,1268,1557,697,779
2016,중구,청구동,1927,2343,537,453,928,1264,462,626
2016,중구,동화동,1624,1699,503,416,774,871,347,412
2016,용산구,소계,34124,38615,7881,7881,14917,17371,11326,13363
2016,용산구,후암동,2392,2828,674,605,922,1134,796,1089
2016,용산구,용산2가동,1372,1860,380,444,520,735,472,681
2016,용산구,남영동,1789,1810,369,379,829,834,591,597
2016,용산구,원효로2동,1906,2173,520,440,901,1031,485,702
2016,용산구,효창동,1476,1740,455,465,643,729,378,546
2016,용산구,용문동,1767,2001,507,545,777,845,483,611
