기간,자치구,동,총전입,총전출,구내전입,구내전출,구간전입,구간전출,시/도간전입,시/도간전출
2009,합계,합계,1873188,1925452,560864,560864,725991,725991,586333,638597
2009,종로구,소계,31031,33661,5921,5921,15157,18036,9953,9704
2009,종로구,사직동,2140,2076,448,402,1087,1160,605,514
2009,종로구,삼청동,694,808,137,191,317,402,240,215
2009,종로구,부암동,1925,2180,477,483,945,1100,503,597
2009,종로구,평창동,3091,3056,553,403,1699,1836,839,817
2009,종로구,무악동,1419,1454,166,143,877,926,376,385
2009,종로구,교남동,1526,1778,209,174,778,1034,539,570
2009,종로구,가회동,973,1080,214,217,467,589,292,274
2009,종로구,종로1.2.3.4가동,1880,1882,199,218,950,1016,731,648
2009,종로구,종로5·6가동,1105,1290,235,300,516,605,354,385
2009,종로구,이화동,1857,2169,338,403,846,1145,673,621
2009,종로구,혜화동,2752,2994,451,379,1274,1730,1027,885
2009,종로구,명륜3가동,1532,1818,228,271,547,839,757,708
2009,종로구,창신1동,1299,1486,341,438,558,630,400,418
2009,종로구,창신2동,1319,1668,364,385,531,747,424,536
2009,종로구,창신3동,1314,1409,325,331,669,734,320,344
2009,종로구,숭인1동,1500,1455,430,344,689,737,381,374
2009,종로구,숭인2동,2166,1857,290,196,1229,1103,647,558
2009,종로구,청운효자동,2539,3201,516,643,1178,1703,845,855
2009,중구,소계,23419,25006,4173,4173,11980,13614,7266,7219
2009,중구,소공동,367,353,5,19,234,252,128,82
2009,중구,회현동,941,1009,50,67,557,647,334,295
2009,중구,명동,667,582,35,47,386,341,246,194
2009,중구,필동,863,956,113,131,426,550,324,275
2009,중구,장충동,1201,1282,238,256,429,579,534,447
2009,중구,광희동,1229,1094,198,207,635,542,396,345
2009,중구,을지로동,569,484,49,51,296,263,224,170
2009,중구,신당1동,1651,1668,457,432,667,769,527,467
2009,중구,신당2동,2929,3065,792,666,1279,1514,858,885
2009,중구,신당3동,3190,3726,457,579,1762,2090,971,1057
2009,중구,신당4동,2643,2704,701,480,1223,1394,719,830
2009,중구,신당5동,1350,1709,358,394,661,950,331,365
2009,중구,신당6동,1453,1983,408,541,678,973,367,469
2009,중구,황학동,2293,2021,248,244,1371,1117,674,660
2009,중구,중림동,2073,2370,64,59,1376,1633,633,678
2009,용산구,소계,44827,45337,9596,9596,20557,21040,14674,14701
2009,용산구,후암동,3305,3648,826,767,1375,1669,1104,1212
